id,severidad,modulo,tipo,estado,dia_detectado,dia_resuelto,descripcion,prioridad
DEF-0001,medio,busqueda,funcional,abierto,2,,Defecto en busqueda - funcional,3
DEF-0002,bajo,reservas,funcional,abierto,5,,Defecto en reservas - funcional,2
DEF-0003,bajo,usuarios,funcional,resuelto,2,3.0,Defecto en usuarios - funcional,2
DEF-0004,medio,sesiones,usabilidad,resuelto,2,5.0,Defecto en sesiones - usabilidad,3
DEF-0005,alto,sesiones,seguridad,resuelto,5,5.0,Defecto en sesiones - seguridad,4
DEF-0006,alto,busqueda,ui,resuelto,3,5.0,Defecto en busqueda - ui,4
DEF-0007,alto,reservas,ui,en_progreso,1,,Defecto en reservas - ui,4
DEF-0008,bajo,busqueda,seguridad,resuelto,3,5.0,Defecto en busqueda - seguridad,2
DEF-0009,bajo,pagos,funcional,abierto,4,,Defecto en pagos - funcional,2
DEF-0010,bajo,busqueda,usabilidad,resuelto,5,5.0,Defecto en busqueda - usabilidad,2
DEF-0011,critico,sesiones,ui,resuelto,1,4.0,Defecto en sesiones - ui,5
DEF-0012,bajo,reservas,rendimiento,abierto,1,,Defecto en reservas - rendimiento,2
DEF-0013,bajo,usuarios,rendimiento,en_progreso,2,,Defecto en usuarios - rendimiento,2
DEF-0014,medio,pagos,rendimiento,resuelto,3,5.0,Defecto en pagos - rendimiento,3
DEF-0015,alto,busqueda,usabilidad,resuelto,5,5.0,Defecto en busqueda - usabilidad,4
DEF-0016,alto,reservas,ui,resuelto,3,5.0,Defecto en reservas - ui,4
DEF-0017,medio,sesiones,ui,abierto,2,,Defecto en sesiones - ui,3
DEF-0018,medio,busqueda,rendimiento,resuelto,1,2.0,Defecto en busqueda - rendimiento,3
DEF-0019,medio,sesiones,rendimiento,resuelto,4,5.0,Defecto en sesiones - rendimiento,3
DEF-0020,medio,usuarios,ui,resuelto,2,5.0,Defecto en usuarios - ui,3
DEF-0021,bajo,sesiones,usabilidad,resuelto,5,5.0,Defecto en sesiones - usabilidad,2
DEF-0022,alto,sesiones,seguridad,resuelto,2,5.0,Defecto en sesiones - seguridad,4
DEF-0023,medio,usuarios,funcional,abierto,2,,Defecto en usuarios - funcional,3
DEF-0024,medio,reservas,seguridad,en_progreso,4,,Defecto en reservas - seguridad,3
DEF-0025,medio,sesiones,seguridad,abierto,1,,Defecto en sesiones - seguridad,3
DEF-0026,bajo,sesiones,rendimiento,en_progreso,1,,Defecto en sesiones - rendimiento,2
DEF-0027,alto,pagos,seguridad,resuelto,1,4.0,Defecto en pagos - seguridad,4
DEF-0028,medio,pagos,usabilidad,abierto,3,,Defecto en pagos - usabilidad,3
DEF-0029,medio,sesiones,usabilidad,resuelto,3,4.0,Defecto en sesiones - usabilidad,3
DEF-0030,critico,sesiones,usabilidad,en_progreso,4,,Defecto en sesiones - usabilidad,5
DEF-0031,bajo,busqueda,funcional,en_progreso,2,,Defecto en busqueda - funcional,2
DEF-0032,alto,busqueda,ui,abierto,1,,Defecto en busqueda - ui,4
DEF-0033,alto,usuarios,funcional,abierto,2,,Defecto en usuarios - funcional,4
DEF-0034,bajo,usuarios,usabilidad,resuelto,5,5.0,Defecto en usuarios - usabilidad,2
DEF-0035,bajo,usuarios,ui,abierto,3,,Defecto en usuarios - ui,2
DEF-0036,bajo,usuarios,rendimiento,en_progreso,1,,Defecto en usuarios - rendimiento,2
DEF-0037,medio,reservas,ui,resuelto,1,4.0,Defecto en reservas - ui,3
DEF-0038,alto,sesiones,ui,resuelto,1,2.0,Defecto en sesiones - ui,4
DEF-0039,bajo,busqueda,ui,resuelto,1,3.0,Defecto en busqueda - ui,2
DEF-0040,medio,busqueda,usabilidad,resuelto,4,5.0,Defecto en busqueda - usabilidad,3
DEF-0041,alto,sesiones,ui,en_progreso,2,,Defecto en sesiones - ui,4
DEF-0042,medio,usuarios,seguridad,resuelto,1,4.0,Defecto en usuarios - seguridad,3
DEF-0043,critico,usuarios,rendimiento,resuelto,4,5.0,Defecto en usuarios - rendimiento,5
DEF-0044,bajo,busqueda,funcional,resuelto,3,4.0,Defecto en busqueda - funcional,2
DEF-0045,medio,reservas,ui,resuelto,4,5.0,Defecto en reservas - ui,3
DEF-0046,bajo,usuarios,ui,resuelto,2,3.0,Defecto en usuarios - ui,2
DEF-0047,medio,usuarios,usabilidad,resuelto,5,5.0,Defecto en usuarios - usabilidad,3
DEF-0048,medio,busqueda,ui,resuelto,4,5.0,Defecto en busqueda - ui,3
DEF-0049,medio,reservas,seguridad,abierto,4,,Defecto en reservas - seguridad,3
DEF-0050,alto,busqueda,seguridad,resuelto,4,5.0,Defecto en busqueda - seguridad,4
DEF-0051,bajo,usuarios,usabilidad,en_progreso,2,,Defecto en usuarios - usabilidad,2
DEF-0052,bajo,reservas,rendimiento,resuelto,1,4.0,Defecto en reservas - rendimiento,2
DEF-0053,bajo,sesiones,funcional,abierto,1,,Defecto en sesiones - funcional,2
DEF-0054,bajo,sesiones,seguridad,abierto,1,,Defecto en sesiones - seguridad,2
DEF-0055,medio,sesiones,funcional,abierto,5,,Defecto en sesiones - funcional,3
DEF-0056,bajo,busqueda,ui,abierto,5,,Defecto en busqueda - ui,2
DEF-0057,alto,sesiones,funcional,resuelto,4,5.0,Defecto en sesiones - funcional,4
DEF-0058,alto,sesiones,usabilidad,resuelto,3,4.0,Defecto en sesiones - usabilidad,4
DEF-0059,critico,pagos,ui,resuelto,2,5.0,Defecto en pagos - ui,5
DEF-0060,medio,pagos,seguridad,resuelto,1,2.0,Defecto en pagos - seguridad,3
DEF-0061,medio,usuarios,usabilidad,abierto,1,,Defecto en usuarios - usabilidad,3
DEF-0062,medio,sesiones,ui,abierto,3,,Defecto en sesiones - ui,3
DEF-0063,bajo,busqueda,ui,abierto,4,,Defecto en busqueda - ui,2
DEF-0064,medio,sesiones,rendimiento,abierto,5,,Defecto en sesiones - rendimiento,3
DEF-0065,medio,pagos,funcional,abierto,3,,Defecto en pagos - funcional,3
DEF-0066,medio,busqueda,funcional,abierto,3,,Defecto en busqueda - funcional,3
DEF-0067,alto,pagos,usabilidad,resuelto,3,4.0,Defecto en pagos - usabilidad,4
DEF-0068,bajo,pagos,usabilidad,abierto,1,,Defecto en pagos - usabilidad,2
DEF-0069,alto,usuarios,rendimiento,resuelto,3,4.0,Defecto en usuarios - rendimiento,4
DEF-0070,bajo,pagos,ui,en_progreso,5,,Defecto en pagos - ui,2
DEF-0071,bajo,busqueda,funcional,resuelto,2,5.0,Defecto en busqueda - funcional,2
DEF-0072,alto,busqueda,rendimiento,resuelto,2,4.0,Defecto en busqueda - rendimiento,4
DEF-0073,critico,reservas,funcional,resuelto,1,3.0,Defecto en reservas - funcional,5
DEF-0074,bajo,reservas,ui,en_progreso,5,,Defecto en reservas - ui,2
DEF-0075,bajo,usuarios,usabilidad,abierto,2,,Defecto en usuarios - usabilidad,2
DEF-0076,bajo,reservas,seguridad,resuelto,3,5.0,Defecto en reservas - seguridad,2
DEF-0077,bajo,reservas,rendimiento,resuelto,1,3.0,Defecto en reservas - rendimiento,2
DEF-0078,alto,busqueda,seguridad,resuelto,4,5.0,Defecto en busqueda - seguridad,4
DEF-0079,medio,pagos,ui,resuelto,2,4.0,Defecto en pagos - ui,3
DEF-0080,alto,pagos,rendimiento,en_progreso,3,,Defecto en pagos - rendimiento,4
DEF-0081,bajo,sesiones,seguridad,en_progreso,1,,Defecto en sesiones - seguridad,2
DEF-0082,bajo,busqueda,rendimiento,resuelto,3,4.0,Defecto en busqueda - rendimiento,2
DEF-0083,medio,busqueda,usabilidad,resuelto,3,5.0,Defecto en busqueda - usabilidad,3
DEF-0084,alto,sesiones,usabilidad,resuelto,5,5.0,Defecto en sesiones - usabilidad,4
DEF-0085,medio,pagos,funcional,abierto,5,,Defecto en pagos - funcional,3
DEF-0086,medio,sesiones,ui,resuelto,1,4.0,Defecto en sesiones - ui,3
DEF-0087,bajo,pagos,usabilidad,abierto,3,,Defecto en pagos - usabilidad,2
DEF-0088,bajo,sesiones,rendimiento,en_progreso,4,,Defecto en sesiones - rendimiento,2
